id,language,sentence
1,Kabyle,Tettɛeddayemt ɣer Xerrata.
1,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9390542
2,Italian,Tom ha detto che non sapeva cosa doveva fare.
2,English,Tom said he didn't know what he had to do.
2,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7103820
3,Kabyle,D asaru n tudert-nsen i yettɛeddayen ger wallen-nsen.
3,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9123977
4,Hungarian,Tomnak együttműködőbbnek kellett volna lennie.
4,English,Tom should have been cooperative.
4,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6994903
5,English,"He's very outspoken, isn't he?"
5,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8527977
6,Vietnamese,Bức ảnh đó là của cô ấy.
6,Japanese,あの写真は彼女のものだ。
6,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8954505
7,Russian,"«Я восхищён Вашими розами. Они просто великолепны», — «Ах, я польщена. Спасибо»."
7,English,"""I was just admiring your roses. They're absolutely gorgeous."" ""Oh, I'm flattered. Thank you."""
7,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/515130
8,English,"Empty your pockets into your mind, and your mind will fill up your pockets."
8,Spanish,"Vacía tu bolsillo en tu mente, y tu mente llenará tu bolsillo."
8,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6035726
9,Portuguese,Eu jamais faria isso por elas.
9,English,I'd never do that for them.
9,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8062280
10,English,At least 10 people have died of the cold in Poland.
10,German,In Polen sind mindestens zehn Menschen erfroren.
10,Turkish,Polonya'da soğuktan en az 10 kişi öldü.
10,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5752690
11,French,"Ah, j'avais oublié. Aujourd'hui, c'est le jour des ordures."
11,Mandarin Chinese,啊！差点忘了。今天是扔垃圾的日子！
11,English,"Oh, I forgot. Today is garbage day!"
11,Esperanto,Ha! Mi forgesis. Hodiaŭ oni forprenas la rubon!
11,Japanese,"あ、忘
わす
れてた。今日
きょう
はゴミ出
だ
しの日
ひ
だった！"
12,Russian,Я убрал посуду со стола.
12,Greek,Καθάρισα το τραπέζι απ΄τα πιάτα.
12,English,I cleared the table of the dishes.
12,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/886321
13,Occitan,Lo Tòm qu'a acompanhat a la Kate tà casa.
13,English,Tom walked Kate home.
13,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1134988
14,Dutch,Aan de kant.
14,German,Rutsch mal ein Stück!
14,English,Move.
14,Esperanto,Flanken!
15,Russian,Она поняла мой намёк и улыбнулась.
15,English,She took my hint and smiled.
15,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3517202
16,English,What should we expect from Tom?
16,Russian,Чего нам ждать от Тома?
16,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9469061
17,Turkish,Tom'un ne kadar iyi Fransızca konuşabildiğine şaşırdım.
17,English,I was surprised by how well Tom could speak French.
17,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5375375
18,Hebrew,תתקן בבקשה את המכונית.
18,English,Please repair the car.
18,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1497924
19,Esperanto,"Tio estis averto, ke la inundo venos."
19,English,This was a warning: the floods were coming.
19,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2368569
20,English,We're not happy with this.
20,German,Wir sind nicht glücklich damit.
20,Esperanto,Ni ne estas feliĉaj pri tio.
20,Romanian,Nu suntem fericiți cu asta.
21,Italian,Anche io volevo mettere questa.
21,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1469425
22,Basque,Ez dut zure erantzuna espero
22,Spanish,No espero que usted me responda.
22,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6018764
23,Russian,Это была незаурядная женщина.
23,English,She was an extraordinary woman.
23,French,C'était une femme hors du commun.
23,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5211653
24,English,That picture brought back a lot of memories.
24,German,Dieses Bild hat viele Erinnerungen wachgerufen.
24,French,Cette photo a fait resurgir de nombreux souvenirs.
24,Italian,Quella foto mi ha riportato tanti ricordi.
24,Japanese,その写真はいろいろな思い出をよみがえらせた。
25,Turkish,Tom yaratıcı olduğumu düşündüğünü söyledi.
25,English,Tom said he thought that I was creative.
25,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5863428
26,Turkish,Şimdi seni eve götürebilirim.
26,English,I can take you home now.
26,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5258044
27,German,Da ist eine Katze auf dem Stuhl.
27,English,There is a cat on the chair.
27,Esperanto,Estas kato sur la seĝo.
27,Klingon,quSDaq vIghro' tu'lu'.
27,Ukrainian,На стільці є кіт.
28,English,Prohibition is hereby officially prohibited.
28,German,Verbieten ist hiermit offiziell verboten.
28,Estonian,Keelamine on siinkohal ametlikult keelatud.
28,French,La prohibition est dorénavant officiellement prohibée.
28,Hebrew,האיסור על אלכוהול נאסר בזאת באופן רשמי.
29,Kabyle,Yiwen ur tent-yefri deg yiwen wass
29,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9922360
30,Italian,Non va a studiare in Nuova Zelanda.
30,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7593673
31,Lithuanian,Tomas yra nuoširdus Marijai.
31,German,Tom ist offen für Maria.
31,Esperanto,Tomo estas sincera al Mary.
31,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9053792
32,Spanish,"La palabra serpiente viene del latín ""serpare""."
32,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5996805
33,Hebrew,תום ומרי שניהם צמחונים.
33,Dutch,Tom en Mary zijn allebei vegetariër.
33,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8181371
34,Turkish,Beş Mayıs çocuklar günüdür.
34,English,May fifth is Children's Day.
34,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1504902
35,Mandarin Chinese,中国菜不比法国菜差。
35,English,Chinese food is no less nice than French food is.
35,Ukrainian,Китайська кухня не гірша за французьку.
35,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4282851
36,Kabyle,Nekk d Amaziɣ maca urǧin i d-mmugreɣ tilelli.
